timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1699463181.345594,2,10.0.0.114343710.0.0.1505117,10.0.0.11,43437,10.0.0.1,5051,17,-1,-1,11,328000000,20,100,0,892,1348704,81.0909090909091,2.7195121951219514e-06,122609.45454545454,0.00411190243902439,0
1699463181.345594,2,10.0.0.114343710.0.0.550511,10.0.0.11,43437,10.0.0.5,5051,1,0,8,21,406000000,20,100,0,21,2034,1.0,5.172413793103448e-08,96.85714285714286,5.009852216748768e-06,0
1699463181.345594,2,10.0.0.185383010.0.0.150506,10.0.0.18,53830,10.0.0.1,5050,6,0,8,1,163000000,20,100,0,123341,6597099522,123341.0,0.0007566932515337423,6597099522.0,40.47300320245399,0
1699463181.345594,2,10.0.0.55383010.0.0.1150501,10.0.0.5,53830,10.0.0.11,5050,1,0,0,21,404000000,20,100,0,20,1960,0.9523809523809523,4.950495049504951e-08,93.33333333333333,4.851485148514851e-06,0
1699463181.347526,3,10.0.0.1505010.0.0.11465646,10.0.0.1,5050,10.0.0.11,46564,6,-1,-1,21,398000000,20,100,0,1051808,69419328,50086.09523809524,0.0026427336683417083,3305682.285714286,0.17442042211055275,0
1699463181.347526,3,10.0.0.18010.0.0.11416626,10.0.0.1,80,10.0.0.11,41662,6,-1,-1,1,207000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.347526,3,10.0.0.18010.0.0.11416766,10.0.0.1,80,10.0.0.11,41676,6,-1,-1,1,198000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.347526,3,10.0.0.1505110.0.0.114343717,10.0.0.1,5051,10.0.0.11,43437,17,-1,-1,1,293000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.347526,3,10.0.0.1505010.0.0.18538306,10.0.0.1,5050,10.0.0.18,53830,6,-1,-1,1,166000000,20,100,0,40215,2654190,40215.0,0.0002422590361445783,2654190.0,0.01598909638554217,0
1699463181.347526,3,10.0.0.114656410.0.0.150506,10.0.0.11,46564,10.0.0.1,5050,6,-1,-1,21,406000000,20,100,0,1270830,58590352348,60515.71428571428,0.0031301231527093598,2790016778.4761906,144.31121267980296,0
1699463181.347526,3,10.0.0.114166210.0.0.1806,10.0.0.11,41662,10.0.0.1,80,6,-1,-1,1,211000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.347526,3,10.0.0.114167610.0.0.1806,10.0.0.11,41676,10.0.0.1,80,6,-1,-1,1,201000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.347526,3,10.0.0.114343710.0.0.1505117,10.0.0.11,43437,10.0.0.1,5051,17,-1,-1,11,329000000,20,100,0,892,1348704,81.0909090909091,2.7112462006079027e-06,122609.45454545454,0.004099404255319149,0
1699463181.347526,3,10.0.0.114343710.0.0.550511,10.0.0.11,43437,10.0.0.5,5051,1,0,8,21,408000000,20,100,0,21,2034,1.0,5.147058823529412e-08,96.85714285714286,4.985294117647059e-06,0
1699463181.347526,3,10.0.0.185383010.0.0.150506,10.0.0.18,53830,10.0.0.1,5050,6,0,8,1,169000000,20,100,0,123336,6597099192,123336.0,0.0007297988165680474,6597099192.0,39.03608989349112,0
1699463181.347526,3,10.0.0.55383010.0.0.1150501,10.0.0.5,53830,10.0.0.11,5050,1,0,0,21,402000000,20,100,0,20,1960,0.9523809523809523,4.975124378109453e-08,93.33333333333333,4.875621890547264e-06,0
1699463181.348599,4,10.0.0.1505010.0.0.11465646,10.0.0.1,5050,10.0.0.11,46564,6,-1,-1,21,397000000,20,100,0,1051808,69419328,50086.09523809524,0.002649390428211587,3305682.285714286,0.17485976826196473,0
1699463181.348599,4,10.0.0.18010.0.0.11416626,10.0.0.1,80,10.0.0.11,41662,6,-1,-1,1,206000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.348599,4,10.0.0.18010.0.0.11416766,10.0.0.1,80,10.0.0.11,41676,6,-1,-1,1,197000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.348599,4,10.0.0.1505110.0.0.114343717,10.0.0.1,5051,10.0.0.11,43437,17,-1,-1,1,291000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.348599,4,10.0.0.1505010.0.0.18538306,10.0.0.1,5050,10.0.0.18,53830,6,-1,-1,1,166000000,20,100,0,40215,2654190,40215.0,0.0002422590361445783,2654190.0,0.01598909638554217,0
1699463181.348599,4,10.0.0.114656410.0.0.150506,10.0.0.11,46564,10.0.0.1,5050,6,-1,-1,21,408000000,20,100,0,1270830,58590352348,60515.71428571428,0.003114779411764706,2790016778.4761906,143.6038047745098,0
1699463181.348599,4,10.0.0.114166210.0.0.1806,10.0.0.11,41662,10.0.0.1,80,6,-1,-1,1,213000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.348599,4,10.0.0.114167610.0.0.1806,10.0.0.11,41676,10.0.0.1,80,6,-1,-1,1,202000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.348599,4,10.0.0.114343710.0.0.1505117,10.0.0.11,43437,10.0.0.1,5051,17,-1,-1,11,330000000,20,100,0,892,1348704,81.0909090909091,2.703030303030303e-06,122609.45454545454,0.004086981818181818,0
1699463181.348599,4,10.0.0.114343710.0.0.550511,10.0.0.11,43437,10.0.0.5,5051,1,0,8,21,411000000,20,100,0,21,2034,1.0,5.10948905109489e-08,96.85714285714286,4.948905109489051e-06,0
1699463181.348599,4,10.0.0.185383010.0.0.150506,10.0.0.18,53830,10.0.0.1,5050,6,0,8,1,170000000,20,100,0,123336,6597099192,123336.0,0.0007255058823529411,6597099192.0,38.80646583529412,0
1699463181.348599,4,10.0.0.55383010.0.0.1150501,10.0.0.5,53830,10.0.0.11,5050,1,0,0,21,400000000,20,100,0,20,1960,0.9523809523809523,5e-08,93.33333333333333,4.9e-06,0
1699463181.349536,6,10.0.0.1505010.0.0.18538306,10.0.0.1,5050,10.0.0.18,53830,6,-1,-1,1,165000000,20,100,0,40215,2654190,40215.0,0.00024372727272727274,2654190.0,0.016086,0
1699463181.349536,6,10.0.0.16505010.0.0.18538301,10.0.0.16,5050,10.0.0.18,53830,1,0,0,1,178000000,20,100,0,1,98,1.0,5.617977528089888e-09,98.0,5.50561797752809e-07,0
1699463181.349536,6,10.0.0.185383010.0.0.150506,10.0.0.18,53830,10.0.0.1,5050,6,0,0,1,171000000,20,100,0,123336,6597099192,123336.0,0.0007212631578947369,6597099192.0,38.57952743859649,0
1699463181.349536,6,10.0.0.185383010.0.0.1650501,10.0.0.18,53830,10.0.0.16,5050,1,0,8,1,179000000,20,100,0,1,98,1.0,5.5865921787709494e-09,98.0,5.474860335195531e-07,0
1699463181.350621,5,10.0.0.1505010.0.0.18538306,10.0.0.1,5050,10.0.0.18,53830,6,-1,-1,1,165000000,20,100,0,40215,2654190,40215.0,0.00024372727272727274,2654190.0,0.016086,0
1699463181.350621,5,10.0.0.185383010.0.0.150506,10.0.0.18,53830,10.0.0.1,5050,6,-1,-1,1,170000000,20,100,0,123336,6597099192,123336.0,0.0007255058823529411,6597099192.0,38.80646583529412,0
1699463181.351412,1,10.0.0.1505010.0.0.11465646,10.0.0.1,5050,10.0.0.11,46564,6,-1,-1,21,401000000,20,100,0,1051808,69419328,50086.09523809524,0.0026229625935162097,3305682.285714286,0.17311553117206982,0
1699463181.351412,1,10.0.0.18010.0.0.11416626,10.0.0.1,80,10.0.0.11,41662,6,-1,-1,1,209000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.351412,1,10.0.0.18010.0.0.11416766,10.0.0.1,80,10.0.0.11,41676,6,-1,-1,1,199000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.351412,1,10.0.0.1505110.0.0.114343717,10.0.0.1,5051,10.0.0.11,43437,17,-1,-1,1,297000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.351412,1,10.0.0.1505010.0.0.18538306,10.0.0.1,5050,10.0.0.18,53830,6,-1,-1,1,167000000,20,100,0,40215,2654190,40215.0,0.00024080838323353292,2654190.0,0.015893353293413175,0
